,CANT,DESCR,SUBTOTAL_PARTIDA
291,1,"TERMOPAR CERAMICO T/K"" LONG 12"" CAL 8""",470.0
292,10,"TUBULAR U"" 5/16"" 203MM 1500W 127V""",5948.3
293,1,"TUBULAR  J"" 5/16"" 230MM 4500W 220V""",999.91
294,1,"TUB INOX 1/2""ØX293MM 2500W240V ""M"" ESPEC",980.6
295,1,"TUB INOX 1/2""ØX293MM 2500W240V ""M"" ESPEC",980.6
296,3,"TUB INOX 1/2""ØX34CM 2000W 240V ""U"" ALETA",4215.75
297,2,"CAS INOX 1/4""ØX2"" 175W240V EXT30CM C/TJ",1625.06
298,1,TERMOPAR J 3/16 Ø X 1' 1/2 EXT. 3 MT,375.29
299,20,"TEA J"" 3/16""Øx22MM EXT2MT BAY2GIR/ADAPT",7100.0
300,5,"TUB. ESP. 5/16 1200W 120V TERM 90° 3""""",8334.25
301,5,"TERMOPAR CERAMICO T/K"" LONG 12"" CAL 8""",2350.0
302,1,"BOBINA 8020 110W 110V EN/TUBO INOX2""X30""",4650.5
303,6,"TUB ""J"" Ø 8 MM X 240 CM 5500 W 220 V",9307.2
304,2,PT-100 6MMØX110MM CONECTOR EXT15MTS,3096.0
305,1,"TUB INOX 7/16""ØX60CM 9000W240V 2 1/2""NPT",4508.2
306,2,"BOQUILLA 11/2X1""1/2"" 300W 240V""",924.0
307,2,TERMOPAR J 3/16 Ø X 1' 1/2 EXT. 1 MT,215.52
308,1,"TUB INOX 5/16""ØX430MM 6000W 230V",2377.0
309,10,"CAS INOX 1/2""ØX51.5CM 400W240V EXT1M SOG",8392.8
310,15,"CAS INOX 5/8""ØX72CM 2670W 480V EXT.30CM",16177.5
311,1,"BOQUILLA 11/2X1""1/2"" 300W 240V""",385.0
312,4,"TUB Ø 7/16 X 71 CM LONG ""U"" 3600W440V",9438.8
313,9,"TUB INOX 5/16""ØX23CM ELIPSE 985W120V BUS",8730.0
314,1,"TUBULAR  J"" 5/16"" 230MM 4500W 220V""",999.91
315,2,"TUB INOX 5/16""Øx40CMS U 2000W 220V TAPON",2431.0
316,2,"TUB INOX 5/16""ØX437MM 1000W127V ""M"" ESPE",1910.0
317,4,"TUB INOX 3/8""ØX38CM 6000W240V ""U"" PLACA",6081.0
318,2,"TUE ""J"" INOX Ø 5/16 X 33 CM 5000 W 240 V",2700.0
319,5,"TERMOPAR CERAMICO T/ K"" LONG 12"" CAL.14""",1875.0
320,1,"BOQUILLA 11/2X1""1/2"" 300W 240V""",462.0
321,2,"TUB INOX 5/16""ØX56CM 5KW240V M ESP/CABLE",2821.2
322,5,BP S/BLINDAJE 94MMX102MM 250W120V 25CM C,1790.0
323,2,"TU ""U"" Ø 8 MM X 500 MM 3000 W 220V",3216.0
324,6,"TUB INOX 1/4""ØX29CM 160W127V RECTA/PLACA",2691.6
325,1,BAN M/LUNA 208MMØX108MM 530W120V C/CINTU,710.0
326,20,"PT-100 3/16""Øx3 1/2"" LONG EXT3MTS,3HILOS",12942.0
327,2,"TUBULAR  U"" 1/2""Øx660mm 4500W440V 3pz""",6106.5
328,4,TERMOPAR J 3/16 Ø X 1' 1/2 EXT. 4 MT,1348.0
329,2,"TUB INOX 5/16""ØX46CM 3000W240V 11/4""NPT",3906.52
330,2,"TERMOPAR CERAMICO T/K"" LONG 12"" CAL 8""",996.0
331,1,"TUB COBRE 7/16""ØX495MM U 3000W127V PLAC",2005.5
332,1,BAN M/LUNA 123MMØX107MM 600W 230V ESPECI,568.97
333,2,BAN M/LUNA 208MMØX143MM 600W110V T/TOR,1700.0
334,6,"BOB DSD CAL.10 3/4""ØX1085MM 4000W127V",5595.0
335,1,"TUB INCOLOY 1/2""Øx412mm J 9KW 240V PLACA",1615.0
336,1,"TUB INOX 7/16""ØX42CM 3000W240V ""M"" BUS",1179.25
